,Unnamed: 0,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰
347,27,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,nk****,5,22.09.19.,"상품구성선택: 4가지맛 천연꿀 허니스틱15포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기선물용인데  만족합니다~
348,28,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,hana*****,5,22.09.19.,"상품구성선택: 3가지맛 천연꿀 블렌딩스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,포장과 디자아이 이뻐서 대 성공입니다
349,29,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,blue****,5,22.06.15.,"상품구성선택: 4가지맛 천연꿀 허니스틱20포(쇼핑백포함)
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,결혼답례품으로 구매했어요. 작은건 알고 있었지만 생각보다 작아서 깜짝 놀랐네요. 그래도 받으시는 분을마다 고급스러워 보이고 예쁘다며 좋아하셨어요. 날짜도 딱 맞게 배송해주고 답변도 친절하게 해주셔서 좋았습니다. 먹어보니 맛있네요! 서비스도 많이 챙겨주셔서 그릭요거트랑 잘 먹고있어요 ㅋㅋ 답례품 고민중이시면 허니스틱 추천합니당!
350,30,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,nara*****,4,22.05.11.,"상품구성선택: 4가지맛 천연꿀 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"스승의 날 앞두고, 
아이 학원선생님들 선물용으로 준비했어요.
상자열어보고 첨엔 조금 당황했던게,
종근당 락*핏 사이즈정도 생각했었는데,
많이 작더라구요. ^^;;;;
그래도 들어보니 20팩이라 그런가 묵직하고,
디자인이나 패키지가 무척 고급스럽고,
소위 가격대비 좀 있어보이는(?)
그래서 괜찮았어요.
선물할 인원이 많을 때 적당한 가격에 고급지게 할 수 있는 선물같아요.
보내주신 맛보기용 먹어봤는데 진하네요.
케이스가 너무 예뻐서 내것도 포함해서 주문할껄 했습니다. ^^"
351,31,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,wlqn****,5,22.06.15.,"상품구성선택: 4가지맛 천연꿀 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"생일선물로 주문했는데 상담도 친절하게 해주시고
포장도 꼼꼼하게 잘 왔어요!
받으신 분들 반응이 너무 좋았네요~
또 주문하겠습니다^^"
352,32,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,sumi*****,5,22.05.29.,"상품구성선택: 3가지맛 천연꿀 블렌딩스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"포장도 고급스럽고, 맛도 좋아서 선물용으로 최고인것 같습니다."
353,33,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,o8oz****,5,22.05.31.,"상품구성선택: 3가지맛 천연꿀 블렌딩스틱15포(쇼핑백포함)
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,"결혼 답례품으로 준비했는데
다행히 다들 좋아하네요~
포장도 예쁘고 먹기도 좋아요~"
354,34,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,moi9***,5,22.06.17.,"상품구성선택: 4가지맛 천연꿀 허니스틱15포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,강추강추합니다 선물 주는사람도 받는 사람도 서로 기분좋고 만족하는 제품인것 같아요 다들 꼭 구매하시길 추천드립니다
355,35,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,elfs*******,5,22.05.04.,"상품구성선택: 블렌딩 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"저는 30포 사각 상자, 20포 원통형 이렇게 두 가지를 구매해봤는데요, 개인적으로는 위의 금박이 고급져보이고 예뻐서 선물로 더 마음에 들었습니다. 포장 예쁘게 잘 되어있고 선물 받는 분들도 좋아하셨어요"
356,36,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,rlaw****,5,22.05.14.,"상품구성선택: 블렌딩 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"예전에도 주문했었는데, 이번에 다시 한번 주문해보아요.그때도 스승의날 선물로 구입하고 뿌듯했는데 이번에도 역시 고급지고 좋았구요.특히.제가 날짜를 착각해서 그제 오전에 주문했는데!다음날 바로 받아서 너무 좋았어요.감사합니다^^"
