,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰
30,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,koj0***,5,22.09.26.,"지리산꿀스틱: 일반포장(50포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매아들이 참 좋아합니다
31,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,reda******,5,22.09.04.,"지리산꿀스틱: 일반포장(100포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기스틱형이라 먹기 편해서 온가족이 잘먹고 있어요~ 맛도 좋습니다
32,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,xowj*****,5,22.09.09.,"지리산꿀스틱: 일반포장(50포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,친구에게선물했어요~편하게먹기좋다고좋아하네요
33,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,magi*****,5,22.09.09.,"지리산꿀스틱: 선물세트(50포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,지인에게선물받고  향과 진한맛에  검색하고 찾아 명절선물로  가족들에게 선물하였어요
34,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,bari****,5,22.08.19.,"지리산꿀스틱: 일반포장(25포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"꿀 좋아하는 딸램을 위해서..
곧 찬바람부는 가을.겨울을 대비하기위해 구매했어요.
소포장이라 하나씩 꺼내서 먹기도 좋고..
편리해서 더 좋아요~
다먹음 또 구매각 입니다~^^"
35,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,reda******,5,22.09.04.,"지리산꿀스틱: 선물세트(50포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매평소에 먹고 있는데 이번에 명절선물로 주문했어요
36,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,gemm***,5,22.08.31.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"한달사용기조금비싸네요
일주일만에 다먹었네요"
37,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,pure*****,5,22.07.31.,"지리산꿀스틱: 일반포장(100포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"아이가 잘 먹어요. 다행인데, 포장에서 지리산에서 난 벌꿀이라는 표시가 없고, 생산자 표시도 없고..."
38,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,sjmt***,5,22.08.08.,"지리산꿀스틱: 일반포장(50포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,먹기 편하고 깔끔하네요
39,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,gemm***,5,22.08.07.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"벌써 다먹어갑니다
좋아요"
