,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰
0,호주 비투 마누카꿀 스틱 MGO300 30개입 본사 패키징(UMF 10 이상) [원산지:호주산(BEE2)],"50,000",4.8,mani****,5,23.08.12.,"MGO300 비투 마누카 수량 선택: 1) 30개입
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기낱개포장 되어있어서 먹기 편하고 좋네요
1,호주 비투 마누카꿀 스틱 MGO300 30개입 본사 패키징(UMF 10 이상) [원산지:호주산(BEE2)],"50,000",4.8,choc*****,5,23.08.08.,"MGO300 비투 마누카 수량 선택: 2) 50개입
",유통기한아주 넉넉해요포장꼼꼼해요편리그냥그래요,아버지가 좋아하십니다 또 주문할게용
2,호주 비투 마누카꿀 스틱 MGO300 30개입 본사 패키징(UMF 10 이상) [원산지:호주산(BEE2)],"50,000",4.8,kgh4***,4,23.07.26.,"MGO300 비투 마누카 수량 선택: 2) 50개입
",유통기한아주 넉넉해요포장적당해요편리그냥그래요,처음 먹어보는건데 맛있네요
3,호주 비투 마누카꿀 스틱 MGO300 30개입 본사 패키징(UMF 10 이상) [원산지:호주산(BEE2)],"50,000",4.8,nrdr***,5,23.07.20.,"MGO300 비투 마누카 수량 선택: 2) 50개입
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기포장이 누워(?)있어서 좋아요. 서있는 마누카꿀도 먹어봤는데 결정이 맺혀서 불편하더라구요. 풍미도 진하고 속도 편해서 꾸준히 먹고 있어요.
4,호주 비투 마누카꿀 스틱 MGO300 30개입 본사 패키징(UMF 10 이상) [원산지:호주산(BEE2)],"50,000",4.8,ahye****,5,23.07.19.,"MGO300 비투 마누카 수량 선택: 2) 50개입
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,부모님께 선물로 드렸는데 좋아하셨어요
5,호주 비투 마누카꿀 스틱 MGO300 30개입 본사 패키징(UMF 10 이상) [원산지:호주산(BEE2)],"50,000",4.8,heay****,3,23.07.22.,"MGO300 비투 마누카 수량 선택: 2) 50개입
",유통기한꽤 남았어요포장적당해요편리편리해요,개별포장이라 먹기 편리해요 아들과 남편에게 수저에 떠서 줄 땐 영 반응 별로였는데 낱개 포장은 잘 챙겨 먹네요 면역력및 감기 끝에 혹은 감기기운 있을 때 목이 칼칼할 때 우리집 만병통치약 ㅋㅋㅋ
6,호주 비투 마누카꿀 스틱 MGO300 30개입 본사 패키징(UMF 10 이상) [원산지:호주산(BEE2)],"50,000",4.8,bes0***,5,23.07.12.,"MGO300 비투 마누카 수량 선택: 1) 30개입
",유통기한꽤 남았어요포장적당해요편리편리해요,선물용으로 구매했습니다. 맘에 들어해서 주는 맘도 좋네요
7,호주 비투 마누카꿀 스틱 MGO300 30개입 본사 패키징(UMF 10 이상) [원산지:호주산(BEE2)],"50,000",4.8,wjs9***,5,23.07.30.,"MGO300 비투 마누카 수량 선택: 2) 50개입
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,진짜 맛있습니다. 향기도 좋아요~그런데 비싸긴하네요~
8,호주 비투 마누카꿀 스틱 MGO300 30개입 본사 패키징(UMF 10 이상) [원산지:호주산(BEE2)],"50,000",4.8,mosk*****,5,23.08.04.,"MGO300 비투 마누카 수량 선택: 2) 50개입
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,한달사용기피곤할때  한포 먹으니 좋아요
9,호주 비투 마누카꿀 스틱 MGO300 30개입 본사 패키징(UMF 10 이상) [원산지:호주산(BEE2)],"50,000",4.8,kkyo*****,4,23.07.12.,"MGO300 비투 마누카 수량 선택: 2) 50개입
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,"감사합니다~
맛나게 먹을게요~"
10,호주 비투 마누카꿀 스틱 MGO300 30개입 본사 패키징(UMF 10 이상) [원산지:호주산(BEE2)],"50,000",4.8,rlax*******,5,23.07.10.,"MGO300 비투 마누카 수량 선택: 2) 50개입
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"많이 달지 않고 
휴대하기 간편해서 좋아요"
11,호주 비투 마누카꿀 스틱 MGO300 30개입 본사 패키징(UMF 10 이상) [원산지:호주산(BEE2)],"50,000",4.8,jini****,5,23.07.28.,"MGO300 비투 마누카 수량 선택: 1) 30개입
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매배송도만족하고 상품도좋아요 ㅎㅎ
12,호주 비투 마누카꿀 스틱 MGO300 30개입 본사 패키징(UMF 10 이상) [원산지:호주산(BEE2)],"50,000",4.8,bell*********,4,23.07.08.,"MGO300 비투 마누카 수량 선택: 2) 50개입
",유통기한꽤 남았어요포장적당해요편리그냥그래요,수량 맞춘다고 지퍼백에 넣어주셨나보네요. 보고 살짝놀랫어요 항상먹는거라 주문했습니다:)
13,호주 비투 마누카꿀 스틱 MGO300 30개입 본사 패키징(UMF 10 이상) [원산지:호주산(BEE2)],"50,000",4.8,spec*******,5,23.06.27.,"MGO300 비투 마누카 수량 선택: 2) 50개입
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매마누카는 무조건 여기서요!
