,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰
44,꿀 스틱 결혼식 답례품 아카시아 밤 야생화 90개입 스틱 꿀 [원산지:국산],"60,000",5.0,zzzz****,5,22.07.29.,"꿀종류: 믹스
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"꿀스틱 먹기 편하고 맛있어서 90개 주문했어요.
특히 남편이 술먹은 다음날 먹으니 너무 좋다며..회사에도 몇개 가져갔어요~"
45,꿀 스틱 결혼식 답례품 아카시아 밤 야생화 90개입 스틱 꿀 [원산지:국산],"60,000",5.0,ysm6***,5,22.07.28.,"꿀종류: 아카시아
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"면역력에 꿀이 좋을것같아서 간편한 스틱꿀 주문했는데 먹기 편해서 하루에도 몇개씩 먹게되요~
아이들도 잘먹고 남편도 잘먹어요~"
46,꿀 스틱 결혼식 답례품 아카시아 밤 야생화 90개입 스틱 꿀 [원산지:국산],"60,000",5.0,pp****,5,22.08.05.,"꿀종류: 믹스
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,오..꿀맛이 조금씩 다 다르네요.다양해서 좋아요
47,꿀 스틱 결혼식 답례품 아카시아 밤 야생화 90개입 스틱 꿀 [원산지:국산],"60,000",5.0,yeon*****,5,22.07.28.,"꿀종류: 야생화
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,집중력 떨어질때 하나씩 먹으라고 수험생 딸램 책상위에 올려 놨어요^^박스가 넘 예쁘네요
48,꿀 스틱 결혼식 답례품 아카시아 밤 야생화 90개입 스틱 꿀 [원산지:국산],"60,000",5.0,qodm********,5,22.07.27.,"꿀종류: 믹스
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"꿀스틱 지인집에서 먹어보구 맛있고 간편해서 주문했어요
박스도 너무 예뻐요~"
49,꿀 스틱 결혼식 답례품 아카시아 밤 야생화 90개입 스틱 꿀 [원산지:국산],"60,000",5.0,dick***,5,22.07.10.,"꿀종류: 믹스
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"먹기 편하고 맛도 좋아 어머님께 선물 드렸습니다
너무 좋아하셔서 기분 좋은 선물이었습니다
선물할때 가격도 좋고, 고급스러운게 받는분이 좋아할 선물인듯 합니다
앞으로 자주 애용할듯합니다
많이파세요"
50,꿀 스틱 결혼식 답례품 아카시아 밤 야생화 90개입 스틱 꿀 [원산지:국산],"60,000",5.0,yhj6***,5,22.08.01.,"꿀종류: 믹스
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,여러가지맛이 들어있어서 골라먹는 재미도 있네요
51,꿀 스틱 결혼식 답례품 아카시아 밤 야생화 90개입 스틱 꿀 [원산지:국산],"60,000",5.0,vcdx***,5,22.08.02.,"꿀종류: 야생화
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,우선 배송이 빠르고 유통기한도 길어서 좋으네요.
52,꿀 스틱 결혼식 답례품 아카시아 밤 야생화 90개입 스틱 꿀 [원산지:국산],"60,000",5.0,dus6***,5,22.08.10.,"꿀종류: 믹스
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"90개 30개 주문해서 
30개는 친구주고 90개는 집에서 먹으려구요~"
53,꿀 스틱 결혼식 답례품 아카시아 밤 야생화 90개입 스틱 꿀 [원산지:국산],"60,000",5.0,yeon********,5,22.08.01.,"꿀종류: 밤꿀
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,간편하게 먹을수 있어서 계속 찾게 되네요ㅎ
54,꿀 스틱 결혼식 답례품 아카시아 밤 야생화 90개입 스틱 꿀 [원산지:국산],"60,000",5.0,mjk9*****,5,22.07.28.,"꿀종류: 야생화
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,박스가 예뻐서 어디에 두어도 괜찮아요^^
55,꿀 스틱 결혼식 답례품 아카시아 밤 야생화 90개입 스틱 꿀 [원산지:국산],"60,000",5.0,dkfh****,5,22.07.29.,"꿀종류: 믹스
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,배송 빠르고 저렴해요~~~
0,"꿀벌의선물(벌꿀스틱) 90개입 [원산지:국산(경상남도)]
네이버 도착보장","29,900",5.0,kang*******,5,23.08.17.,"선물용 쇼핑백: 쇼핑백 미포함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"카이막하고 같이 먹으려고 구매했어요
낱개포장되있아서 너무간편하고 좋아요!"
1,"꿀벌의선물(벌꿀스틱) 90개입 [원산지:국산(경상남도)]
네이버 도착보장","29,900",5.0,arum*****,5,23.08.03.,"선물용 쇼핑백: 쇼핑백 미포함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"배송도 빠르고, 간편히 먹기좋아요~!
부모님댁에도 하나 보내드리려고요"
2,"꿀벌의선물(벌꿀스틱) 90개입 [원산지:국산(경상남도)]
네이버 도착보장","29,900",5.0,vava****,5,23.08.01.,"선물용 쇼핑백: 쇼핑백 미포함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,낯개포장되서  먹기도 편하고 맛도 진해요
3,"꿀벌의선물(벌꿀스틱) 90개입 [원산지:국산(경상남도)]
네이버 도착보장","29,900",5.0,unpl****,5,23.08.02.,"선물용 쇼핑백: 쇼핑백 미포함
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,빠른 배송 감사드립니다!
4,"꿀벌의선물(벌꿀스틱) 90개입 [원산지:국산(경상남도)]
네이버 도착보장","29,900",5.0,idbl****,5,23.06.26.,"선물용 쇼핑백: 쇼핑백 미포함
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,아들이 학교 갈때 가져가요. 먹기  편해서 좋아요
5,"꿀벌의선물(벌꿀스틱) 90개입 [원산지:국산(경상남도)]
네이버 도착보장","29,900",5.0,info*****,5,23.05.11.,"선물용 쇼핑백: 꿀벌의선물 전용 선물 쇼핑백
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"박스 귀엽네요
포장도요"
6,"꿀벌의선물(벌꿀스틱) 90개입 [원산지:국산(경상남도)]
네이버 도착보장","29,900",5.0,shtn****,5,23.04.05.,"선물용 쇼핑백: 쇼핑백 미포함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"지인이 선물로 여기 벌꿀을 줘서 
그릭요거트 만들때마다 꿀이랑 먹었는데
너무 맛있어요^^"
7,"꿀벌의선물(벌꿀스틱) 90개입 [원산지:국산(경상남도)]
네이버 도착보장","29,900",5.0,thom******,5,22.12.02.,"선물용 쇼핑백: 쇼핑백 미포함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기맛있고 싸고 편하네요 굿
8,"꿀벌의선물(벌꿀스틱) 90개입 [원산지:국산(경상남도)]
네이버 도착보장","29,900",5.0,lim9****,5,22.10.30.,"선물용 쇼핑백: 꿀벌의선물 전용 선물 쇼핑백
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,하루에 하나씩 운동 끝나고 좋습니다
9,"꿀벌의선물(벌꿀스틱) 90개입 [원산지:국산(경상남도)]
네이버 도착보장","29,900",5.0,ca****,5,22.09.23.,"선물용 쇼핑백: 꿀벌의선물 전용 선물 쇼핑백
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,꿀향도 좋고 달콤해요^^ 맛나요..
10,"꿀벌의선물(벌꿀스틱) 90개입 [원산지:국산(경상남도)]
네이버 도착보장","29,900",5.0,ta****,5,22.09.25.,"선물용 쇼핑백: 쇼핑백 미포함
",유통기한꽤 남았어요포장적당해요편리편리해요,재구매편하게 한포씩 좋네요
11,"꿀벌의선물(벌꿀스틱) 90개입 [원산지:국산(경상남도)]
네이버 도착보장","29,900",5.0,hyun*****,5,22.09.17.,"선물용 쇼핑백: 쇼핑백 미포함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,가성비 너무 편리하게 먹어요
0,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,kjan*****,5,23.02.11.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 2.선택안함 / 잭스카드: 1. 메리카드
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기계속 잘먹고있어요~^^ 만족합니다
1,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,dna1***,5,23.01.13.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 1. 쇼핑백추가(+800원) / 잭스카드: 3.땡스카드
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,선물로 구매했어요..맛도 좋고 스틱포장 이라 먹기편해요
2,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,kjan*****,5,23.01.16.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 2.선택안함 / 잭스카드: 1. 메리카드
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,선물했는데 너무 좋아하네요 감사합니다
3,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,jull****,5,23.01.02.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 1. 쇼핑백추가(+800원) / 잭스카드: 4.선택안함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"BEST선물할려고 주문했어요 포장 깔끔하고
목 아플때, 당떨어질때 
한포씩 먹기 너무좋아요"
4,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,hk****,5,22.11.01.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 2.선택안함 / 잭스카드: 4.선택안함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,마른 기침 진정시키려고 샀어요. 좋은 것 같습니다.
5,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,kiba******,5,22.10.13.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 2.선택안함 / 잭스카드: 4.선택안함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기우리집 최애 꿀 최고입니다
6,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,erty*****,3,22.11.02.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 2.선택안함 / 잭스카드: 2. 벌쓰데이카드
",유통기한꽤 남았어요포장적당해요편리그냥그래요,"재구매맛도
당도도
적당히"
7,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,kiba******,5,22.09.08.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 2.선택안함 / 잭스카드: 4.선택안함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,선물한다구 대량구매 했는데 오질라서 재구매 합니다 선물 받으신분들마다 좋타구 다들 여기서 재구매 한다네요 만족합니다
8,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,peac******,5,22.08.26.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 2.선택안함 / 잭스카드: 1. 메리카드
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매두번째 구매해서 먹고있어요. 얼마 안남아서 또 주문하러 갑니다
