,nouns
612,생
613,슴슴해
614,자신
615,보신
616,술
617,숭늉
618,된장
619,세지
620,소라
621,쿠쿠
622,지고
623,생선
624,필수
625,둘이서
626,생신
627,바닥
628,한우
629,밥해
630,궁합
631,코로나
632,로
633,그램
634,콩나물
635,채
636,파가
637,당황
638,장아찌
639,계량
640,토마토
641,노른자
642,돼지고기
643,생강
644,사골
645,수린
646,핏물
647,하루
648,삼치
649,지음
650,죽순
651,고추
652,우엉
653,고치
