,ProductCode,MemberGrade,MemberName,ProductName,ReviewText,ReviewDate,ReviewLike
40,5136210,라벤더,김**,[바로생활] 아카시아꿀 스틱 10포,아키시아 꿀 잘 먹었어여,2023.08.04,0
41,5136210,화이트,전**,[바로생활] 아카시아꿀 스틱 10포,적당히 달고 먹기 편합니다,2023.08.03,0
42,5136210,일반,박**,[바로생활] 아카시아꿀 스틱 10포,"꿀 향도 좋고 맛있어요 자주 사고 싶어요 
요거트에 넣어 먹으면 딱 좋은 양이에요",2023.08.03,0
43,5136210,프렌즈,신**,[바로생활] 아카시아꿀 스틱 10포,"유통기한 25.06.18 로 넉넉하구요
피자에 꿀 찍어먹거나, 당땡길때 1포 먹어도 좋아요",2023.08.03,0
44,5136210,프렌즈,박**,[바로생활] 아카시아꿀 스틱 10포,"아카시아꿀이라 사봤어요!!!
개별포장이라 편해요!!",2023.08.02,0
45,5136210,퍼플,전**,[바로생활] 아카시아꿀 스틱 10포,간편하게 먹기좋아서 자주구입합니다  꿀이 다쏟아져나와있었어요  무게에눌린탓인듯 합니다 포장신경써주세요,2023.08.02,0
46,5136210,프렌즈,김**,[바로생활] 아카시아꿀 스틱 10포,그릭요거트에 먹으려고 구매했어요 가성비는 떨어지겠지만 스틱이라 편하긴 해여,2023.08.02,0
47,5136210,프렌즈,심**,[바로생활] 아카시아꿀 스틱 10포,그릭요거트 뿌랴먹음 맛있아요~ ,2023.08.02,0
48,5136210,프렌즈,홍**,[바로생활] 아카시아꿀 스틱 10포,아이는 싫다하고 남편이맛나데요,2023.07.31,0
49,5136210,프렌즈,국**,[바로생활] 아카시아꿀 스틱 10포,꿀이 진하고 달콤해요:),2023.07.31,0
50,5136210,화이트,민**,[바로생활] 아카시아꿀 스틱 10포,가지고 다니기에 편해요. 한포에 들어있는 꿀의 양도 너무 적지 않구요. 맛은 우리가 알고 있는 아카시아꿀 맛이예요!,2023.07.31,0
51,5136210,일반,안**,[바로생활] 아카시아꿀 스틱 10포,하나면 딱입니다! 카이막에도 그릭요거트에도 좋아요!,2023.07.31,0
52,5136210,프렌즈,이**,[바로생활] 아카시아꿀 스틱 10포,꿀 한포씩 좋아요 ,2023.07.30,0
53,5136210,일반,김**,[바로생활] 아카시아꿀 스틱 10포,2번째 구매했어요.,2023.07.30,0
54,5136210,프렌즈,이**,[바로생활] 아카시아꿀 스틱 10포,요거트나 과일 떡에 곁들여 먹기도 간편하고 좋네요,2023.07.29,0
55,5136210,일반,장**,[바로생활] 아카시아꿀 스틱 10포,"맛있어요.
개별 포장이라 먹기 편하고요.
또 구매할 의향 있어요~",2023.07.27,0
56,5136210,라벤더,방**,[바로생활] 아카시아꿀 스틱 10포,아이 간식으로 먹이려고 구매했어요 ,2023.07.27,0
57,5136210,프렌즈,박**,[바로생활] 아카시아꿀 스틱 10포,맛있게 잘 먹고 있어요,2023.07.26,0
58,5136210,일반,민**,[바로생활] 아카시아꿀 스틱 10포,"카이막이랑 먹으려고 샀어요
딜콤히고 맛있네요",2023.07.26,0
59,5136210,화이트,김**,[바로생활] 아카시아꿀 스틱 10포,그릭모모 해 먹으면 찰떡일것 같아 구매했어요.,2023.07.26,0
60,5136210,프렌즈,오**,[바로생활] 아카시아꿀 스틱 10포,아껴묵고 싶은데 넘  수량이 적어서.. 재구매할게요,2023.07.25,0
61,5136210,라벤더,윤**,[바로생활] 아카시아꿀 스틱 10포,스틱이라 너무 좋네요!,2023.07.25,0
62,5136210,일반,이**,[바로생활] 아카시아꿀 스틱 10포,배송빠르고 좋아요 ㅎㅎ ,2023.07.25,0
63,5136210,일반,김**,[바로생활] 아카시아꿀 스틱 10포,스틱으로 되어있어 사용하기 편합니다,2023.07.24,0
64,5136210,퍼플,박**,[바로생활] 아카시아꿀 스틱 10포,맛은 있는데 가격이 좀 비싼 듯,2023.07.24,0
65,5136210,일반,심**,[바로생활] 아카시아꿀 스틱 10포,할인해서 가격 좋게 샀어요 무난합니다,2023.07.24,0
66,5136210,일반,오**,[바로생활] 아카시아꿀 스틱 10포,한포씩 까먹기 좋아요! 츄천,2023.07.24,0
67,5136210,더퍼플,이**,[바로생활] 아카시아꿀 스틱 10포,아카시아꿀 달고 맛나요,2023.07.23,0
68,5136210,일반,김**,[바로생활] 아카시아꿀 스틱 10포,아카시아꿀향이 강한편이라 좀 아쉬웠어요!,2023.07.23,0
69,5136210,일반,정**,[바로생활] 아카시아꿀 스틱 10포,먹기 편해요! 소분되어 있어서 위생적이구요 ,2023.07.23,0
70,5136210,라벤더,은*,[바로생활] 아카시아꿀 스틱 10포,"카이막이랑 같이 먹으려고 구매해요
향이 강하지않고 은은하면서 달달해요",2023.07.22,0
71,5136210,화이트,황**,[바로생활] 아카시아꿀 스틱 10포,맛있어요 좋아요 잘샀어요,2023.07.20,0
72,5136210,일반,전**,[바로생활] 아카시아꿀 스틱 10포,먹기편하고 많이 달지 않고 싱싱한 맛이 납니다 강추,2023.07.20,0
73,5136210,일반,장**,[바로생활] 아카시아꿀 스틱 10포,"선물용으로 구매합니다
양평계피생강차랑 같이구매
감기에 좋을듯 합니다",2023.07.20,0
74,5136210,라벤더,배**,[바로생활] 아카시아꿀 스틱 10포,그릭요거트에 뿌려먹었어요,2023.07.20,0
75,5136210,일반,김**,[바로생활] 아카시아꿀 스틱 10포,"카이막이랑 같이 먹으려고 구매했어요
간편하고 맛있습니다",2023.07.19,0
76,5136210,일반,조**,[바로생활] 아카시아꿀 스틱 10포,아카시아향이 무척 좋은 맛있는꿀이에요! 한포씩 되어있어서 휴대하기도 좋고 그릭요거트 같은데에 넣어먹기도 좋아요! ,2023.07.19,0
77,5136210,일반,장**,[바로생활] 아카시아꿀 스틱 10포,카이막이랑 먹으려고 샀아용ㅋㅋ,2023.07.18,0
78,5136210,일반,윤**,[바로생활] 아카시아꿀 스틱 10포,꿀 세일해서 구매했는데 색이 좋네요,2023.07.18,0
79,5136210,프렌즈,김**,[바로생활] 아카시아꿀 스틱 10포,편하게 먹기 좋아요,2023.07.17,0
80,5136210,퍼플,전**,[바로생활] 아카시아꿀 스틱 10포,맛도좋고  편해서 자주구입합니다 좋아요 ,2023.07.17,0
81,5136210,화이트,권**,[바로생활] 아카시아꿀 스틱 10포,한 스틱씩 포장되어 있어서 휴대하기도 편하고 먹기도 좋습니다 아카시아 향이 강하지 않고 달달해서 맛있습니다,2023.07.16,0
82,5136210,퍼플,나**,[바로생활] 아카시아꿀 스틱 10포,"좋아요 만족해요 
꿀차로 먹으려면
세개는 뜯어야함",2023.07.15,0
83,5136210,라벤더,박**,[바로생활] 아카시아꿀 스틱 10포,사용하기 편할 것 같아 주문,2023.07.15,0
84,5136210,일반,장**,[바로생활] 아카시아꿀 스틱 10포,[아카시아꿀 스틱] 카이막에 먹으려고 구매했어요 맛있어요,2023.07.15,0
85,5136210,일반,배**,[바로생활] 아카시아꿀 스틱 10포,커피에 섞어먹으면 맛나요ㅎㅎ,2023.07.14,0
86,5136210,일반,라***,[바로생활] 아카시아꿀 스틱 10포,간편하니 좋아요 비싼감이 있긴함,2023.07.13,0
87,5136210,프렌즈,이**,[바로생활] 아카시아꿀 스틱 10포,꿀은 첨사보는데 카이막에 뿌려머긍려고 샀습니당 ! 포장도 이뻐여 ! ,2023.07.13,0
88,5136210,일반,최**,[바로생활] 아카시아꿀 스틱 10포,카이막이랑 같이 먹으려고 샀는데 편하고 좋아요 꿀 먹을 때 항상 지저분하게 먹게 돼서 잘 안먹게 됐거든요 향도 은은해서 다음에 또 주문할까 합니다 ,2023.07.12,0
89,5136210,프렌즈,C**********,[바로생활] 아카시아꿀 스틱 10포,맛있습니다! 또 구매할거에요!!^^,2023.07.12,0
90,5136210,일반,정**,[바로생활] 아카시아꿀 스틱 10포,소포장이라 진짜 좋앙ㅅ,2023.07.11,0
91,5136210,라벤더,지*,[바로생활] 아카시아꿀 스틱 10포,간편해요 아카시아향도 좋구요,2023.07.11,0
92,5136210,프렌즈,김**,[바로생활] 아카시아꿀 스틱 10포,카이막이랑 먹을려고 삿어요,2023.07.11,0
93,5136210,화이트,이**,[바로생활] 아카시아꿀 스틱 10포,좀 비싼듯하지만 사용하기는 편해요,2023.07.10,0
94,5136210,일반,연**,[바로생활] 아카시아꿀 스틱 10포,"여러가지로 쓰려고 샀어요
간편하고 번거롭지 않아서 좋네요",2023.07.09,0
95,5136210,라벤더,윤**,[바로생활] 아카시아꿀 스틱 10포,스틱상품이라 좋아요,2023.07.09,0
96,5136210,화이트,황**,[바로생활] 아카시아꿀 스틱 10포,간편해요 카이막 위에 뿌려먹으려고 샀어요 맛있는 아카시아꿀맛 ,2023.07.09,0
97,5136210,일반,정**,[바로생활] 아카시아꿀 스틱 10포,카이막이랑 같이 먹을려고 구입했어요. 향긋하니 좋아요,2023.07.08,0
98,5136210,라벤더,송**,[바로생활] 아카시아꿀 스틱 10포,맛있어요 아카시아꿀스틱,2023.07.08,0
99,5136210,일반,정**,[바로생활] 아카시아꿀 스틱 10포,달달하고 간편하고 맛있어요,2023.07.07,0
100,5136210,일반,이**,[바로생활] 아카시아꿀 스틱 10포,배송빠르고 좋아요 ㅎㅎ ,2023.07.07,0
101,5136210,일반,박**,[바로생활] 아카시아꿀 스틱 10포,아침 공복에 먹으면 좋다고 해서 주문햇어용,2023.07.07,0
102,5136210,프렌즈,이**,[바로생활] 아카시아꿀 스틱 10포,개별포장이라 편의성이 높아 구매,2023.07.07,0
103,5136210,일반,유*,[바로생활] 아카시아꿀 스틱 10포,"하나씩 낱개 포장되어 있어 휴대하여 먹기 간편하네요
그릭요거트에 넣어 먹어요",2023.07.07,0
104,5136210,라벤더,이**,[바로생활] 아카시아꿀 스틱 10포,여행가거 먹을려구요,2023.07.07,0
105,5136210,일반,r***,[바로생활] 아카시아꿀 스틱 10포,스틱 포장이라 휴대하기 좋아요,2023.07.07,0
106,5136210,프렌즈,장**,[바로생활] 아카시아꿀 스틱 10포,아카시아꿀 티백이라 손쉽게 먹을수있어 편해요,2023.07.06,0
107,5136210,화이트,서**,[바로생활] 아카시아꿀 스틱 10포,간편하게 먹기 좋아요 ㅎㅎ ,2023.07.06,0
108,5136210,화이트,김**,[바로생활] 아카시아꿀 스틱 10포,"피곤할때 하나씩 먹고이ㅛ어요
깔끔한 포장이 좋아요",2023.07.06,0
109,5136210,일반,권**,[바로생활] 아카시아꿀 스틱 10포,당떨어질때 좋아요^.^꿀한포씩돼있어서 간편,2023.07.06,0
110,5136210,일반,최**,[바로생활] 아카시아꿀 스틱 10포,꿀 맛이고 개별포장 조아요,2023.07.06,0
111,5136210,일반,김**,[바로생활] 아카시아꿀 스틱 10포,포장이 너무 이쁘고 꿀도 맛나요! 딱 1회분씩만 먹을 수 있어서 위생적이고 좋아요,2023.07.05,0
112,5136210,일반,조**,[바로생활] 아카시아꿀 스틱 10포,아침에 속 쓰릴때 한번 먹어주면 좀 편안해 지는거 같아요. 가성비도 좋아서 재구매각입니다~!,2023.07.05,0
113,5136210,라벤더,산*,[바로생활] 아카시아꿀 스틱 10포,개별포장이라 넘 좋아여,2023.07.04,0
114,5136210,일반,전**,[바로생활] 아카시아꿀 스틱 10포,많이 안달고 진하고 편하게 먹을수 있어요,2023.07.04,0
115,5136210,프렌즈,유**,[바로생활] 아카시아꿀 스틱 10포,카이막하고 먹으니 더 꿀맛~,2023.07.03,0
116,5136210,프렌즈,정**,[바로생활] 아카시아꿀 스틱 10포,홍삼에 섞어서 아침식사대신 중딩아들먹어요,2023.07.03,0
117,5136210,프렌즈,조**,[바로생활] 아카시아꿀 스틱 10포,그릭요거트에 뿌려먹음 딱이예요~~낱개로 되어있어 휴대하기도 좋고 아카시아꿀100프로라 더 좋아요^^,2023.07.02,0
118,5136210,퍼플,나**,[바로생활] 아카시아꿀 스틱 10포,"맛있어요 
샐러드
요거트
토핑",2023.07.02,0
119,5136210,화이트,김**,[바로생활] 아카시아꿀 스틱 10포,개별포장도 좋고 맛도 만족!,2023.07.02,0
120,5136210,더퍼플,이**,[바로생활] 아카시아꿀 스틱 10포,맛있게 잘먹었습니다,2023.07.02,0
121,5136210,일반,김**,[바로생활] 아카시아꿀 스틱 10포,그릭 요거트에 타서 빵에 올려 먹었어요.,2023.07.02,0
122,5136210,일반,정**,[바로생활] 아카시아꿀 스틱 10포,"신랑이 아카시아 나무를 좋아해여!
꿀보관 힘들어서 스틱 찾다가 아카시아 꿀이 있어서 구입했어요!
맛있게 잘먹을께여! ",2023.07.01,0
123,5136210,화이트,이**,[바로생활] 아카시아꿀 스틱 10포,"간편할것 같아서 사봤어요.
꿀향이 좋아요. 한번 먹기 딱 좋아요.",2023.06.30,0
124,5136210,화이트,조**,[바로생활] 아카시아꿀 스틱 10포,하나씩 뜯어쓰면되서 넘 편해요.,2023.06.30,0
125,5136210,프렌즈,양**,[바로생활] 아카시아꿀 스틱 10포,요거트에 뿌린 꿀 ><,2023.06.29,0
126,5136210,라벤더,한**,[바로생활] 아카시아꿀 스틱 10포,꿀이 편해요.스틱좋은것같아요,2023.06.29,0
