,ProductCode,MemberGrade,MemberName,ProductName,ReviewText,ReviewDate,ReviewLike,sentiment_label,sentiment_score,token_nouns_bareun,token_verbs_bareun
0,5136210,일반,박**,[바로생활] 아카시아꿀 스틱 10포,"작은 박스로 2개 (10개씩 들어있어 20개 네요 ) 주문 했습니다.  의심이 많은 타입이라 뭐든 한번에 주문한적이 없고 ,,  꼭 먹어보고 써보고 나서야 안심하는 타입입니다 ㅋ    요즘은..아카시아가 많이 없어 ..  아카시아 향 맏아보기도 정말 힘든데.. 아카시아 꿀이라니  ^^  너무 반갑고 예뻐 주문해 봤습니다.   일단 너무 작고 예쁘네요 .  더운 여름에 밖에서 운동하는 딸을 위해 건강한 간식으로  챙겨 주려고 합니다.   예쁜 포장이라 예민한 아이 마음에도 쏙 드는 듯 합니다.   배송도 빠르고 좋은제품 좋은 가격에 잘 산걸 같아  기분 좋네요.^^",2023.06.23,0,1,0.9940904974937439,"['박스', '2', '개', '10', '개', '씩', '20', '개', '네', '주문', '의심', '타입', '뭐', '번', '주문', '적', '안심', '타입', 'ㅋ', '요즘', '아카시아', '아카시아', '향', '아카시아', '꿀', '주문', '여름', '밖', '운동', '딸', '건강', '간식', '포장', '아이', '마음', '듯', '배송', '제품', '가격', '거', '기분']","['작', '들', '있', '하', '많', '이', '하', '없', '먹', '보', '쓰', '보', '나', '하', '이', '없', '맏아보', '힘들', '이', '반갑', '예쁘', '하', '보', '작', '예쁘', '덥', '하', '위하', '하', '챙기', '주', '하', '예쁘', '이', '예민하', '들', '하', '빠르', '좋', '좋', '살', '같', '좋']"
1,5136210,프렌즈,강**,[바로생활] 아카시아꿀 스틱 10포,물에 타먹으니까 되게 다네요,2023.08.15,0,1,0.971501886844635,['물'],"['타', '먹', '달']"
2,5136210,일반,김**,[바로생활] 아카시아꿀 스틱 10포,그냥 간단하게 먹기 딱 좋아요 한 포에 생각보다는 조금 들어있었던거같은데 그래도 나쁘지 않았어요,2023.08.15,0,1,0.973411500453949,"['포', '생각', '거']","['간단하', '먹', '좋', '들', '있', '같', '그러', '나쁘', '않']"
3,5136210,멤버스,윤**,[바로생활] 아카시아꿀 스틱 10포,하나씩 포장되 쓰기 좋아요,2023.08.15,0,1,0.9769540429115295,"['하나', '씩', '포장되']","['쓰', '좋']"
4,5136210,멤버스,김**,[바로생활] 아카시아꿀 스틱 10포,소량 포장판매라 조아요 편하고 좀 비쌈ㅋ,2023.08.13,0,1,0.9471107125282288,"['소량', '포장', '판매', '조아요', '비', '쌈ㅋ']","['이', '편하']"
5,5136210,프렌즈,장**,[바로생활] 아카시아꿀 스틱 10포,카이막이랑 먹을려고 사요 비싸지만  소량이고 간편해서 좋네요,2023.08.13,0,1,0.9855076670646667,"['카이막', '소량']","['먹', '사', '비싸', '이', '간편하', '좋']"
6,5136210,멤버스,이**,[바로생활] 아카시아꿀 스틱 10포,그릭 요거트에 넣어서 잘 먹고있어용,2023.08.13,0,1,0.9904419183731079,"['그릭', '요거트']","['넣', '먹', '있']"
7,5136210,화이트,강**,[바로생활] 아카시아꿀 스틱 10포,과일에 뿌려 먹으면 꿀맛,2023.08.12,0,1,0.98739093542099,"['과일', '꿀맛']","['뿌리', '먹']"
8,5136210,일반,현**,[바로생활] 아카시아꿀 스틱 10포,먹기 편해요 달아서 머리아프깅함,2023.08.12,0,1,0.7167614102363586,"['머리', '깅']","['먹', '편하', '달', '아프', '하']"
9,5136210,일반,남**,[바로생활] 아카시아꿀 스틱 10포,맛있어서 재주문해요,2023.08.12,0,1,0.9809150695800781,"['재', '주문']","['맛있', '하']"
10,5136210,퍼플,이**,[바로생활] 아카시아꿀 스틱 10포,피곤할 때 한 포씩~,2023.08.12,0,1,0.9455597400665283,"['피곤', '때', '포', '씩']",['하']
11,5136210,일반,양**,[바로생활] 아카시아꿀 스틱 10포,너무 달지않고 요거트에 같이먹기 딱 적당해요,2023.08.12,0,1,0.9897394776344299,['거트'],"['달', '않', '먹', '적당하']"
12,5136210,프렌즈,김**,[바로생활] 아카시아꿀 스틱 10포,"그릭모모(?) 해먹었어요! 그냥 그릭요거트에 복숭아,꿀, 그레놀레 넣어 만들어 먹었어요.",2023.08.11,0,0,0.5016453862190247,"['그릭모모', '그릭요거트', '복숭아', '꿀', '그레놀레']","['하', '먹', '넣', '만들', '먹']"
13,5136210,일반,김**,[바로생활] 아카시아꿀 스틱 10포,생각보다 작아요 꿀은 다맛있죠. ㅋㅋ,2023.08.11,0,1,0.9441840648651123,"['생각', '꿀', 'ㅋㅋ']","['작', '맛있']"
14,5136210,일반,이**,[바로생활] 아카시아꿀 스틱 10포,맛있어요 세일할때사면 간편하고 굿!!,2023.08.10,0,1,0.9907044768333435,"['세일', '때', '굿']","['맛있', '하', '사', '간편하']"
15,5136210,일반,김**,[바로생활] 아카시아꿀 스틱 10포,카이막에 넣어먹으려고 샀어요 꿀은 자주 먹진 않아서 이렇게 소포장되어있으니 좋네요 ,2023.08.10,0,1,0.9896570444107056,"['카이막', '꿀', '소', '포장']","['넣', '먹', '사', '먹', '않', '이렇', '되', '있', '좋']"
16,5136210,프렌즈,송**,[바로생활] 아카시아꿀 스틱 10포,맛있어요~^^ 선물용으로도 나왔으면 좋겠어요~~,2023.08.10,0,1,0.9897058010101318,"['선물', '용']","['맛있', '나오', '좋']"
17,5136210,화이트,이**,[바로생활] 아카시아꿀 스틱 10포,먹기간편해요 요거트랑 먹기좋아요,2023.08.10,0,1,0.9552135467529297,['요거트'],"['먹', '간', '편하', '먹', '좋']"
