,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰,ko_review,token_nouns,token,cleaned_tokens,sentiment_label,sentiment_score
55226,55226,55226,1106,굼FLEX 햄프씨드 먹은 굼벵이가 들어간 단백질 홍삼 스틱벌꿀 4종 꿀선물 굼플렉스 7g [원산지:국산(충청남도 예산군)],"4,000",5.0,figl****,5.0,22.03.11.,"굼FLEX 허니스틱: 솔잎맛 _ 5갑
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,커피먹던 습관 좀 고치려고 여기저기 기웃대다가 이 제품 사먹고 있습니다. 일단 꿀이 대부분이라 맛이 없으면 이상하겠죠?솔잎맛이라 박하향 처럼 상큼하게 너무 좋아요. 운전하면서 졸릴때 한잔 사무실에서 하나 이렇게 먹어요. 굼뱅이가 들어갔다고는 전혀 상상이 안되네요 ㅎㅎ,커피먹던 습관 좀 고치려고 여기저기 기웃대다가 이 제품 사먹고 있습니다 일단 꿀이 대부분이라 맛이 없으면 이상하겠죠솔잎맛이라 박하향 처럼 상큼하게 너무 좋아요 운전하면서 졸릴때 한잔 사무실에서 하나 이렇게 먹어요 굼뱅이가 들어갔다고는 전혀 상상이 안되네요 ㅎㅎ,"['커피', '습관', '여기저기', '제품', '꿀', '대', '부분', '맛', '솔잎', '맛', '박하향', '때', '한잔', '사무실', '굼뱅이', '상상', 'ㅎ', 'ㅎ']","[('커피', 'NNG'), ('먹', 'VV'), ('던', 'ETM'), ('습관', 'NNG'), ('좀', 'MAG'), ('고치', 'VV'), ('려고', 'EC'), ('여기저기', 'NNG'), ('기웃대', 'VV'), ('다가', 'EC'), ('이', 'MMD'), ('제품', 'NNG'), ('사', 'VV'), ('아', 'EC'), ('먹', 'VV'), ('고', 'EC'), ('있', 'VX'), ('습니다', 'EF'), ('일단', 'MAG'), ('꿀', 'NNG'), ('이', 'JKS'), ('대', 'NNG'), ('부분', 'NNG'), ('이', 'VCP'), ('라', 'EC'), ('맛', 'NNG'), ('이', 'JKS'), ('없', 'VA'), ('으면', 'EC'), ('이상하', 'VA'), ('겠', 'EP'), ('죠', 'EF'), ('솔잎', 'NNG'), ('맛', 'NNG'), ('이', 'VCP'), ('라', 'EC'), ('박하향', 'NNG'), ('처럼', 'JKB'), ('상큼하', 'VA'), ('게', 'EC'), ('너무', 'MAG'), ('좋', 'VA'), ('아요', 'EF'), ('운전하', 'VV'), ('면서', 'EC'), ('졸리', 'VV'), ('ㄹ', 'ETM'), ('때', 'NNG'), ('한잔', 'NNG'), ('사무실', 'NNG'), ('에서', 'JKB'), ('하나', 'NR'), ('이렇', 'VA'), ('게', 'EC'), ('먹', 'VV'), ('어요', 'EF'), ('굼뱅이', 'NNG'), ('가', 'JKS'), ('들어가', 'VV'), ('았', 'EP'), ('다고', 'EC'), ('는', 'JX'), ('전혀', 'MAG'), ('상상', 'NNG'), ('이', 'JKS'), ('안', 'MAG'), ('되', 'VV'), ('네', 'EF'), ('요', 'JX'), ('ㅎ', 'NNG'), ('ㅎ', 'NNG')]","['커피', '습관', '여기저기', '제품', '대', '부분', '맛', '솔잎', '맛', '박하향', '한잔', '사무실', '굼뱅이', '상상']",긍정,0.9949808716773987
55240,55240,55240,1120,굼FLEX 햄프씨드 먹은 굼벵이가 들어간 단백질 홍삼 스틱벌꿀 4종 꿀선물 굼플렉스 7g [원산지:국산(충청남도 예산군)],"4,000",5.0,udgm*****,5.0,22.03.05.,"굼FLEX 허니스틱: 솔잎맛 _ 5갑
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"굼벵이가 기력회복에 좋다고 들어 선물하려고 주문했어요.
일단 케이스도 아담하니 가지고 다니기도 좋을 것 같고 꿀이라 먹기도 편하겠어요.
포장도 깔끔하고 꼼꼼하게 보내주셨네요 좋은선물 할수 있을것 같아요",굼벵이가 기력회복에 좋다고 들어 선물하려고 주문했어요일단 케이스도 아담하니 가지고 다니기도 좋을 것 같고 꿀이라 먹기도 편하겠어요포장도 깔끔하고 꼼꼼하게 보내주셨네요 좋은선물 할수 있을것 같아요,"['굼벵이', '기력', '회복', '케이스', '것', '꿀', '포장', '선물', '수', '것']","[('굼벵이', 'NNG'), ('가', 'JKS'), ('기력', 'NNG'), ('회복', 'NNG'), ('에', 'JKB'), ('좋', 'VA'), ('다고', 'EC'), ('들', 'VV'), ('어', 'EC'), ('선물하', 'VV'), ('려고', 'EC'), ('주문하', 'VV'), ('았', 'EP'), ('어요', 'EF'), ('일단', 'MAG'), ('케이스', 'NNG'), ('도', 'JX'), ('아담하', 'VA'), ('니', 'EC'), ('가지', 'VV'), ('고', 'EC'), ('다니', 'VV'), ('기', 'ETN'), ('도', 'JX'), ('좋', 'VA'), ('을', 'ETM'), ('것', 'NNB'), ('같', 'VA'), ('고', 'EC'), ('꿀', 'NNG'), ('이', 'VCP'), ('라', 'EC'), ('먹', 'VV'), ('기', 'ETN'), ('도', 'JX'), ('편하', 'VA'), ('겠', 'EP'), ('어요', 'EF'), ('포장', 'NNG'), ('도', 'JX'), ('깔끔하', 'VA'), ('고', 'EC'), ('꼼꼼하', 'VA'), ('게', 'EC'), ('보내', 'VV'), ('어', 'EC'), ('주', 'VX'), ('시', 'EP'), ('었', 'EP'), ('네', 'EF'), ('요', 'JX'), ('좋', 'VA'), ('은', 'ETM'), ('선물', 'NNG'), ('하', 'VV'), ('ㄹ', 'ETM'), ('수', 'NNB'), ('있', 'VA'), ('을', 'ETM'), ('것', 'NNB'), ('같', 'VA'), ('아요', 'EF')]","['굼벵이', '기력', '회복', '케이스', '포장', '선물']",긍정,0.9937426447868347
