,sentiment_label
3483,긍정
3484,긍정
3485,긍정
3486,긍정
3487,긍정
3488,부정
3489,긍정
3490,긍정
3491,긍정
3492,긍정
3493,긍정
3494,긍정
3495,긍정
3496,긍정
3497,긍정
3498,부정
3499,긍정
3500,긍정
3501,긍정
3502,긍정
3503,긍정
3504,긍정
3505,긍정
3506,긍정
3507,긍정
