,sentiment_label
55172,긍정
55174,긍정
55179,긍정
55185,긍정
55187,긍정
55193,긍정
55197,긍정
55202,긍정
55204,긍정
55206,긍정
55209,긍정
55217,긍정
55222,긍정
55227,긍정
55228,긍정
55234,긍정
55237,긍정
55238,긍정
